s,Transaction Date,Transaction Time,Transaction Type,Merchant Category,Geographic Location,Cardholder History,Transaction Amount,Currency,Transaction Status,Cardholder Account Information,Transaction Method
169270dc-bf02-4bf1-91fa-d180c0781ddf,18-03-2023,03:02:37,ATM Withdrawal,Retail,Ginaland,5,373.15,USD,Pending,Standard,Mobile Payment
4797aac7-bf09-412e-b4a1-a32aea896bda,09-08-2023,02:50:44,ATM Withdrawal,Online Services,Traciland,16,59.96,USD,Pending,Platinum,Physical Card
3d42388c-9254-40bf-adc1-f345dcd87a07,24-10-2022,06:48:59,Online Payment,Retail,Sarahside,6,193.14,GBP,Approved,Platinum,Mobile Payment
5b40bb0a-908a-427d-820b-3edfc579c145,02-11-2022,12:58:32,Purchase,Online Services,Michaelchester,1,188.26,EUR,Declined,Platinum,Online
5104090c-21f1-4315-a6f8-3cd2bbe79452,04-06-2023,13:55:14,Online Payment,Restaurant,East Nancy,16,139.6,USD,Approved,Gold,Online
a700cef6-2359-48fc-9ecb-0faa31eecb9a,31-05-2023,07:56:56,Online Payment,Retail,North Robin,12,692.08,EUR,Declined,Gold,Online
313caba6-63f8-43f8-8b1a-78fca8dae18f,06-02-2023,00:56:12,ATM Withdrawal,Retail,West Robert,12,873.88,GBP,Pending,Gold,Online
ff8dff30-f13b-4708-8551-66a7196bab86,07-08-2023,15:19:36,ATM Withdrawal,Retail,Valentinefort,14,25.42,EUR,Pending,Gold,Mobile Payment
606de754-8bfa-43d4-bc12-bf42c23b8d70,15-06-2023,19:33:56,Purchase,Retail,Michellehaven,5,881.02,USD,Pending,Gold,Mobile Payment
dcfe4535-b2da-4761-aa98-bc9f991d9e22,15-12-2022,03:50:14,Purchase,Restaurant,Kellitown,12,316.72,USD,Declined,Platinum,Physical Card
7623cde0-c763-44f1-a608-9793c24ebd5a,10-03-2023,18:08:22,Purchase,Online Services,Stephensburgh,12,674.66,EUR,Approved,Standard,Online
88c7bd82-b8d4-496b-8976-2714b23214a7,06-10-2022,08:23:12,Purchase,Retail,Jonesmouth,5,659.95,GBP,Pending,Platinum,Physical Card
a419baee-c7a4-4221-bd0a-cd461ac4efa5,07-02-2023,04:59:08,Online Payment,Online Services,Port Julieton,4,362.11,GBP,Approved,Standard,Online
fcb113fe-c50f-43d9-bd65-1eda30d8216f,16-03-2023,22:13:12,ATM Withdrawal,Online Services,Alicialand,3,375.31,USD,Approved,Standard,Online
6b872f72-f5c4-4be0-9426-9dfb27e8f589,02-04-2023,14:47:50,Online Payment,Restaurant,Lisashire,4,927.23,EUR,Pending,Platinum,Online
68820318-110a-496b-8c52-77f79941a1ac,23-06-2023,23:40:59,Purchase,Retail,Port Wendyburgh,16,3.03,USD,Declined,Gold,Mobile Payment
80ca247e-8a2b-4825-92a6-fd7c50e58b80,06-01-2023,02:28:40,Purchase,Retail,West Scottshire,18,661.85,EUR,Pending,Platinum,Physical Card
7046b20b-ebce-4977-a490-1d017bb4906b,14-09-2023,14:44:15,ATM Withdrawal,Restaurant,Vaughanborough,8,7.5,GBP,Approved,Platinum,Physical Card
ca6a5b79-6f23-43df-9d35-b3152f6c8515,29-04-2023,14:23:29,Online Payment,Online Services,Danielton,13,450.64,EUR,Declined,Standard,Mobile Payment
2f06834b-c639-46af-be90-fe015dc3f5f1,12-07-2023,05:04:48,ATM Withdrawal,Retail,West Elizabethmouth,11,299,GBP,Declined,Platinum,Physical Card
b6c2131b-5b75-48fc-b8fd-3f3bb87d933f,28-02-2023,18:38:15,Purchase,Online Services,Hubbardmouth,1,57.73,USD,Pending,Standard,Online
054dd5e0-ea3d-4a11-b1f7-a80b9fcb0bc4,02-07-2023,20:04:51,ATM Withdrawal,Retail,East Michaelberg,13,112.3,USD,Declined,Standard,Online
eb762115-31b5-46c4-a981-ff2a57356e9e,06-02-2023,11:55:55,Online Payment,Retail,Maryshire,15,209.07,EUR,Approved,Gold,Online
9151f381-03dd-4c79-83c4-85dfde57ba7f,14-12-2022,11:26:43,Purchase,Retail,Amandaton,2,576.49,GBP,Pending,Standard,Mobile Payment
998f2a22-0285-41bc-b088-036e890cbd7b,04-01-2023,15:40:03,ATM Withdrawal,Restaurant,Jennifermouth,2,211.65,GBP,Declined,Standard,Physical Card
f592e3a0-6f9b-4e6a-b69f-c1495afe4340,05-10-2022,22:17:46,Online Payment,Online Services,West Ericaburgh,5,605.15,USD,Approved,Gold,Physical Card
0f025e2b-f191-46bd-9612-03e4395595ea,29-03-2023,10:36:09,Online Payment,Restaurant,West Oscarfurt,6,379.99,EUR,Approved,Platinum,Mobile Payment
79188ac7-b5e3-42a5-8550-e077ee25bff8,27-08-2023,00:32:00,ATM Withdrawal,Restaurant,Edwardland,4,317.85,EUR,Approved,Gold,Online
11d885a2-f4c4-4a7d-9372-1098733bf0d7,22-04-2023,01:37:50,Online Payment,Retail,Johnville,17,106.86,EUR,Pending,Gold,Mobile Payment
b6a7da15-8e21-4987-a15b-142697907930,15-06-2023,09:33:23,Online Payment,Online Services,North Gregoryland,15,785.07,GBP,Pending,Platinum,Online
80b7694d-430e-4b58-a495-cbc7f003f090,09-07-2023,18:48:57,ATM Withdrawal,Online Services,Josephstad,6,698.69,USD,Pending,Platinum,Online
24c1704d-7534-42c1-ab8c-109998d748d1,11-06-2023,05:46:07,Online Payment,Restaurant,Michaelmouth,1,524.44,EUR,Approved,Gold,Online
24d62853-277a-4aaf-a76c-82926648918c,24-10-2022,23:38:18,ATM Withdrawal,Online Services,Adamborough,9,656.3,EUR,Pending,Platinum,Physical Card
d3eca7d1-76f4-4544-bce9-15e1482af893,10-10-2022,08:11:55,Purchase,Restaurant,Nicolemouth,1,402.36,GBP,Approved,Standard,Online
401c58fc-c621-480f-8a76-42f6cb2af4df,21-08-2023,14:24:31,ATM Withdrawal,Restaurant,Daughertyhaven,7,323.04,GBP,Pending,Standard,Online
7bf123fe-9969-41f7-a3d3-4752da537402,13-02-2023,23:39:09,Purchase,Retail,Howardberg,12,387.43,USD,Approved,Standard,Online
49358764-f837-4f53-9aa1-0cad1aa9e945,25-12-2022,16:52:27,Purchase,Retail,West Christopher,10,95.83,USD,Approved,Platinum,Mobile Payment
476812dc-a0c2-4362-a86e-aada853c2418,30-03-2023,23:47:11,Purchase,Online Services,West Andreaton,20,190.35,GBP,Declined,Standard,Physical Card
b299df68-347f-474e-8de6-54d3fc289e85,28-02-2023,00:23:26,Online Payment,Restaurant,West Dorisstad,15,752.87,GBP,Declined,Platinum,Physical Card
e26b7b33-0b70-4e9d-ad1f-6fd73b2ca575,10-05-2023,11:10:57,Online Payment,Online Services,West Cassandrashire,20,272.95,GBP,Pending,Standard,Physical Card
31d72638-1c63-46e4-96d1-140fb8e274ad,07-08-2023,15:16:09,Online Payment,Online Services,Patrickhaven,4,640.64,GBP,Pending,Standard,Online
befdcce6-51a3-491a-b599-4a5e3aa49e03,03-09-2023,16:09:22,Online Payment,Retail,Lake Michelleport,6,505.97,EUR,Pending,Platinum,Mobile Payment
b90bd392-f638-47d5-9c26-72771ef12ce7,15-11-2022,14:20:47,Online Payment,Retail,Adamsborough,9,504.41,USD,Approved,Platinum,Mobile Payment
a66c813e-2ea2-4429-aeea-84bc42354ad8,26-10-2022,05:22:17,Online Payment,Restaurant,Wrightland,12,133.23,GBP,Pending,Gold,Physical Card
86377740-f81b-4024-8f32-40d69db6dbb2,22-09-2023,17:36:59,Online Payment,Online Services,Davidmouth,3,381.03,EUR,Declined,Platinum,Mobile Payment
03c136e6-1673-4b29-a96c-e12cace077e7,12-01-2023,21:13:53,ATM Withdrawal,Restaurant,East Jonathanland,17,530.07,USD,Declined,Platinum,Mobile Payment
0c1abee4-b099-4f55-88ac-027f1201f702,13-01-2023,19:34:46,Online Payment,Restaurant,South Louisburgh,2,833.79,EUR,Declined,Platinum,Mobile Payment
7a94830b-365b-4996-b41e-5ea2b2c09ce6,21-06-2023,17:11:04,Purchase,Online Services,Port Danielberg,13,797.6,EUR,Approved,Platinum,Physical Card
9229d394-deb4-4309-8a9d-b3eb72620b3b,07-02-2023,08:25:13,ATM Withdrawal,Retail,Taylormouth,10,411.44,USD,Pending,Standard,Online
13710d76-0221-4901-bf54-a13df5471cfd,06-08-2023,05:21:10,Online Payment,Online Services,Markbury,16,583.05,EUR,Declined,Platinum,Online
46bbc2c0-2cc0-4416-b6c4-2f6a4f2b4c0d,31-07-2023,05:11:08,Online Payment,Online Services,Port Jenniferstad,12,204.91,EUR,Declined,Standard,Online
8a2dce52-07e5-4347-bc5f-5ad8cf95cea6,23-05-2023,04:29:22,Online Payment,Restaurant,West Michelemouth,7,755.17,USD,Pending,Gold,Online
14c4fa0b-a845-4993-ae4a-5743bbecb98d,23-06-2023,22:53:19,ATM Withdrawal,Retail,Blackburnton,14,59.39,EUR,Approved,Standard,Mobile Payment
b018a378-9b77-40ea-9ea9-3ec403a7f247,28-10-2022,21:54:13,Online Payment,Online Services,New Sarahburgh,15,104.65,GBP,Approved,Standard,Online
4ad49028-6598-4f38-bd65-e11422b674e4,26-11-2022,15:11:30,Purchase,Online Services,Weberburgh,4,764.75,USD,Pending,Standard,Physical Card
e59065b8-b8c5-45a2-81d3-a809fb944cdf,30-10-2022,22:10:12,Purchase,Restaurant,Lake Davidview,4,748.46,EUR,Approved,Platinum,Online
ad12e9e9-840f-4073-b307-c8ce6e099474,17-05-2023,21:34:46,Purchase,Restaurant,Hannahtown,10,246.95,GBP,Approved,Platinum,Physical Card
8aa659da-8725-4161-b6b1-55ad1080b217,10-10-2022,06:05:37,ATM Withdrawal,Restaurant,West Alicia,6,35.06,GBP,Approved,Platinum,Physical Card
b5a4f238-a5fd-44e6-8646-2fe6818b9094,14-02-2023,18:33:08,Purchase,Retail,New Anna,1,979.93,EUR,Declined,Standard,Online
2bb35a90-0fc5-41e6-ab08-a0afbfbcbad7,20-05-2023,06:17:55,Online Payment,Retail,New Sandrahaven,1,825.24,GBP,Pending,Gold,Online
484ac3f6-415b-4770-9a79-466cf934d827,11-06-2023,07:23:04,Online Payment,Restaurant,Mercerview,5,346.97,EUR,Pending,Standard,Online
eeb051a5-1393-4549-b473-b01abdcad800,05-01-2023,01:49:55,ATM Withdrawal,Restaurant,South Traceymouth,18,698.65,USD,Approved,Standard,Online
9c8c5255-d1f8-4adc-bcf8-39870cbe3c63,12-09-2023,12:27:05,ATM Withdrawal,Restaurant,New Mary,18,80.43,EUR,Approved,Gold,Physical Card
8708d4d5-5fbd-46ed-8bc1-637cd23e116b,03-05-2023,15:49:46,Online Payment,Online Services,New Tyler,19,247.16,GBP,Approved,Platinum,Mobile Payment
a06c48f9-b21c-4bd1-a681-17a699349ca7,16-10-2022,23:04:27,Online Payment,Online Services,East Carlosside,12,817.58,USD,Declined,Platinum,Physical Card
971ca6db-6bd5-40e2-9bf2-856b2d01e090,14-10-2022,10:00:57,Purchase,Online Services,Gonzalezbury,14,743.82,EUR,Approved,Platinum,Physical Card
f8c15dd0-b5c9-4ad0-9be7-7526990cba70,26-02-2023,14:24:34,Online Payment,Online Services,Lewisfort,13,967.05,USD,Declined,Standard,Mobile Payment
9a402032-0719-4d1c-ae27-0695230a1eb4,20-06-2023,14:45:49,Online Payment,Restaurant,Brianmouth,4,735.65,GBP,Approved,Platinum,Mobile Payment
446bb06c-813f-46db-baf1-2a8f9fa5ba56,26-04-2023,18:01:12,Purchase,Online Services,New Kellybury,20,390.71,EUR,Pending,Standard,Mobile Payment
6ebdeee7-1ccb-4242-8911-96f8e11b17a7,02-12-2022,05:38:27,Purchase,Retail,Mitchellfort,9,874.24,USD,Approved,Platinum,Physical Card
802378e2-2aa0-4766-9b1f-063ed43c0327,18-04-2023,14:01:03,Online Payment,Retail,South Michaelton,17,692.6,GBP,Approved,Platinum,Physical Card
8ba91f23-a037-4a79-b83f-1bd9d817a018,27-05-2023,03:34:34,Purchase,Restaurant,Haydenview,8,220.97,USD,Declined,Standard,Online
85474ad2-3cc1-4b34-b46c-b926b913ea47,02-11-2022,21:51:39,ATM Withdrawal,Online Services,Lyonston,17,630.1,GBP,Declined,Platinum,Mobile Payment
96aa3286-fa37-4249-a64c-b4c984cc8a86,25-10-2022,07:49:32,Online Payment,Online Services,East Bettyhaven,11,24.87,GBP,Declined,Gold,Online
c1b513ef-ce93-4034-9b31-f8f405e5949f,06-09-2023,07:37:48,Purchase,Retail,East Julie,18,792.88,GBP,Declined,Gold,Mobile Payment
bdbfdc67-c140-409e-8955-429707d52de2,21-11-2022,08:33:36,ATM Withdrawal,Online Services,East Kellytown,9,310.62,USD,Approved,Gold,Mobile Payment
5f682987-b8e8-4e20-b736-277ec75a2a7b,11-08-2023,06:10:49,Purchase,Restaurant,Andrebury,13,217.14,USD,Approved,Standard,Mobile Payment
74854f47-0eb0-4acd-81c9-ce8f96ce3def,11-01-2023,07:09:47,Online Payment,Retail,Serranohaven,19,930.74,USD,Declined,Platinum,Physical Card
f98ef105-de1b-44d0-b624-d71899cdf9b2,04-04-2023,18:52:42,ATM Withdrawal,Retail,Lewistown,4,781.12,GBP,Pending,Standard,Physical Card
c6e1f416-8a39-4970-b35c-09d4e2d141d7,18-01-2023,06:20:34,Online Payment,Restaurant,Mooreville,17,668.43,GBP,Declined,Platinum,Online
76fff514-a3c2-4bc2-b8e6-1196c4bc41fd,28-04-2023,07:27:58,ATM Withdrawal,Online Services,Blevinsview,9,109.82,GBP,Declined,Platinum,Physical Card
5f9ad55b-08ed-4d4d-9bfc-ac93e364ebd5,05-08-2023,02:54:23,Purchase,Online Services,Michaelmouth,9,382.12,EUR,Pending,Gold,Mobile Payment
ba37a1f2-8a8f-4676-8d2d-109f2054a551,15-09-2023,03:11:02,Purchase,Online Services,Port Deborahview,18,847.8,EUR,Approved,Platinum,Online
03a80ea7-9201-4855-9f22-43b726d70c1a,09-02-2023,05:25:44,Online Payment,Restaurant,North Roger,16,974.12,EUR,Pending,Gold,Physical Card
951b4289-947a-4cd8-97d4-a19a31ae8d6e,13-12-2022,10:14:47,Online Payment,Retail,Josephside,13,212.34,EUR,Pending,Standard,Physical Card
b3decc67-cb67-474a-9d62-46faac4df2fb,29-03-2023,14:38:26,ATM Withdrawal,Online Services,West Laura,15,821.57,EUR,Declined,Platinum,Mobile Payment
58036cc7-dd52-4820-bc5f-cedd7462c1d1,15-11-2022,00:37:28,ATM Withdrawal,Online Services,East Lisamouth,10,567.93,GBP,Approved,Standard,Online
7ee29932-041a-4250-a17f-b5a60de105c3,19-04-2023,00:53:10,Purchase,Restaurant,Rodriguezberg,19,742.72,EUR,Declined,Platinum,Online
afa6f12c-d218-4fd7-9c54-9ddaf933cea6,14-08-2023,06:52:49,Purchase,Retail,New Joan,7,288.2,USD,Declined,Platinum,Mobile Payment
3179b22d-72d2-4f74-8550-888a453ba2fe,25-02-2023,15:28:18,ATM Withdrawal,Online Services,New Joymouth,17,59.15,GBP,Declined,Gold,Online
1b1d27f9-eeed-4f7d-b4c1-4d771bfd0cb6,21-03-2023,17:30:55,Purchase,Restaurant,West Zacharymouth,8,396.97,GBP,Declined,Platinum,Mobile Payment
0386f5c1-4d31-4d26-b770-d46da2ecf77b,15-06-2023,01:52:44,Online Payment,Restaurant,Carterburgh,12,6.11,USD,Declined,Standard,Mobile Payment
9d0f3238-bb92-4b5c-baf3-869ea226610a,25-03-2023,06:01:05,ATM Withdrawal,Online Services,South Jeffmouth,19,917.74,EUR,Declined,Standard,Mobile Payment
67a30fea-9183-4360-b150-7952e20d8396,09-12-2022,14:28:41,Purchase,Retail,Port Jill,19,394.13,USD,Approved,Standard,Mobile Payment
b84ba724-01bf-4203-86da-d85cf48697fc,04-01-2023,21:20:39,Purchase,Online Services,North Stephen,2,202.14,USD,Approved,Standard,Physical Card
62aa4291-7194-4e9b-b3df-293b5324e668,04-06-2023,06:20:16,ATM Withdrawal,Restaurant,South Kenneth,8,193.57,GBP,Pending,Gold,Online
5334a16b-665d-4f44-98e6-f7c916686674,19-08-2023,08:41:14,Purchase,Online Services,Madisontown,4,493.51,USD,Pending,Standard,Physical Card
1d7b115d-2ee2-4515-9bec-a98c4d61356a,05-08-2023,03:43:28,Purchase,Restaurant,Kennethfurt,19,961.54,GBP,Declined,Standard,Online
